conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,,"Techniky a zásady vývoje softwaru, jako je analýza, algoritmy, kódování, testování a sestavování programů v jazyce Haskell.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,počítačové programování | vývoj a analýza softwaru a aplikací
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,inkrementální vývoj,released,knowledge,sector-specific,,Model inkrementálního vývoje je metodika pro navrhování softwarových systémů a aplikací.,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,metodiky řízení projektů v oblasti ICT | vývoj a analýza softwaru a aplikací
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"Počítačový program KDevelop je soubor nástrojů pro tvorbu softwaru pro písemné programy, jako je kompilátor, odstraňovač chyb, editor kódů, zvýraznění kódů, prezentovaný v jednotném uživatelském rozhraní. Je vytvořen softwarovou komunitou KDE.",http://data.europa.eu/esco/isced-f/0612 | http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde,vytváření a správa databází a sítí | software vývojového prostředí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (systém správy vzdělávání),released,knowledge,sector-specific,,"Vzdělávací systém Absorb je platforma elektronického učení pro vytváření, správu a poskytování kurzů elektronického učení nebo vzdělávacích programů pro studenty středních škol.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,systém správy vzdělávání | vytváření a správa databází a sítí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrovat existující data,released,skill/competence,sector-specific,převádět data | provádět migraci existujících dat | přesunovat data | migrovat data  která existují,"Uplatňování metod migrace a konverze na stávající data, aby je bylo možné převádět nebo konvertovat mezi formáty, úložišti nebo počítačovými systémy.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"řídit, získávat a uchovávat digitální data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,definovat fyzickou strukturu databáze,released,skill/competence,sector-specific,definovat fyzickou úložnou strukturu databáze | definovat fyzické struktury databází | definovat fyzickou konfiguraci databáze | vymezit fyzickou strukturu databáze,"Specifikovat fyzickou konfiguraci databázových souborů v daných médiích. To sestává z podrobných specifikací možností indexování, typů dat a datových prvků vložených do datového slovníku.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"řídit, získávat a uchovávat digitální data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"Platforma Maltego je forenzní aplikace, která využívá vytěžování dat k zajištění přehledu o prostředí organizací, testování slabých míst v oblasti bezpečnosti systému z hlediska potenciálně neoprávněného přístupu a dokládá složitost selhání infrastruktury.",http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436 | http://data.europa.eu/esco/isced-f/0613,penetrační testovací nástroj | vývoj a analýza softwaru a aplikací
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,obsluhovat rádiové zařízení,released,skill/competence,cross-sector,,"Nastavení a obsluha rádiových zařízení a příslušenství, jako jsou vysílací konzole, zesilovače a mikrofony. Rozumět základům jazyka provozovatele radiokomunikací a v případě potřeby poskytovat pokyny pro správné nakládání s rádiovým zařízením.",http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6 | http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235,obsluhovat komunikační zařízení | koordinovat dálkovou komunikaci
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,released,knowledge,sector-specific,,"Techniky a zásady vývoje softwaru, jako je analýza, algoritmy, kódování, testování a sestavování programů v jazyce Erlang.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,vývoj a analýza softwaru a aplikací | počítačové programování
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,řídit klasifikaci dat ICT,released,skill/competence,sector-specific,řídit třídění dat ICT | řídit klasifikace dat ICT | řídit klasifikaci dat informačních a komunikačních systémů | řídit klasifikační systém pro data IT sítí | řídit klasifikaci dat IKT,"Dohlížet na systém klasifikace, který organizace používá k organizaci svých dat. Přidělit vlastníka každé jednotlivé datové koncepci nebo balíku koncepcí a určit hodnotu každé datové položky.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c | http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956,"řídit, získávat a uchovávat digitální data | řídit architekturu dat ICT"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,struktura informací,released,knowledge,sector-specific,stavba informací | formát dat | struktury informací | struktura informace,"Typ infrastruktury, která definuje formát údajů: polostrukturované, nestrukturované a strukturované.",http://data.europa.eu/esco/isced-f/0612,vytváření a správa databází a sítí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,spravovat dočasné sítě informačních a komunikačních technologií (ICT) pro živá vystoupení,released,skill/competence,occupation-specific,,"Spravovat nastavení sítí pro distribuci řídicích signálů pro umělecké a eventové aplikace. Řídicí signály zahrnují například DMX, RDM, MIDI, časový kód, data pro sledování a polohování, ale také audio, video a polohovací signály.
	",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,konfigurovat počítačové systémy
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,držet krok s digitální transformací průmyslových procesů,released,skill/competence,sector-specific,,Držet krok s digitálními inovacemi použitelnými pro průmyslové procesy. Začlenit tyto transformace do procesů společnosti za účelem rozvinutí konkurenceschopných a ziskových obchodních modelů.,http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc,monitorovat vývoj v oblasti odborných znalostí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,zapojit kancelářské vybavení,released,skill/competence,occupation-specific,,"Zapojit kancelářské vybavení, jako jsou modemy, skenery a tiskárny, do elektrické sítě a provést elektrické spojení, aby se zabránilo nebezpečným rozdílům potenciálů. Testovat zařízení z hlediska jeho řádného fungování. Monitorovat nastavení a připravit zařízení k použití.",http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85,provádět všeobecné sekretářské a administrativní úkoly
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,released,knowledge,sector-specific,,"Techniky a zásady vývoje softwaru, jako je analýza, algoritmy, kódování, zkoušení a sestavování programů v jazyce SAS.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/skill/ad59afe4-6f8a-4bc4-acfd-0f228277508a,vývoj a analýza softwaru a aplikací | počítačové programování | systémový software pro statistickou analýzu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,používat rozhraní konkrétní aplikace,released,skill/competence,sector-specific,,Chápat a používat rozhraní specifická pro konkrétní aplikaci nebo použití.,http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,pracovat s počítačem
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,navrhovat elektrické systémy,released,skill/competence,cross-sector,,"Vypracovávat návrhy náčrtů a plánů elektrických systémů, výrobků a konstrukčních částí pomocí softwaru a zařízení pro projektování pomocí počítače (CAD). Kreslit rozložení uspořádání panelů, elektrická schémata, diagramy elektrického zapojení a další podrobnosti sestavy.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,navrhovat elektrické nebo elektronické systémy a zařízení
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,definovat pravidla firewallu,released,skill/competence,sector-specific,formulovat pravidla pro firewall | definovat pravidla firewallů | definovat pravidla pro bezpečnostní rozhraní,"Stanovit pravidla, jimiž se má řídit soubor komponentů, s cílem omezit přístup mezi skupinami sítí nebo určitou sítí a internetem.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,chránit zařízení ikt
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/055ff233-6569-43db-9f95-a4b03dca97da,obsluhovat záznamové systémy obchodu,released,skill/competence,sector-specific,,"Obsluhovat systémy k zaznamenávání informací o výrobcích, balení a objednávkách ve stanovených formátech a typech záznamů.",http://data.europa.eu/esco/skill/7afb5a64-e574-421a-bb3a-7a7bc108d2a5 | http://data.europa.eu/esco/skill/06fdd94c-292d-49e3-9c78-bbcbc2088232,provádět skladové operace | udržovat provozní záznamy
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05b70efb-6b80-4f04-9a25-67cd317daf37,CryEngine,released,knowledge,sector-specific,,"Herní engine CryEngine, což je softwarový rámec, který se skládá z integrovaných vývojových prostředí a specializovaných návrhářských nástrojů, určený pro rychlou iteraci uživatelských počítačových her.",http://data.europa.eu/esco/skill/966f2fd3-3de6-42da-b87c-da924c6d7960 | http://data.europa.eu/esco/isced-f/0211,systémy tvorby digitálních her | audiovizuální technika a mediální výroba a produkce
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/061f1c12-9811-46f7-ab3e-1d28367d6c73,používat CAD nástroje na podrážky,released,skill/competence,sector-specific,,"Digitalizace a skenování ševcovských kopyt. Pracovat se soubory v různých systémech CAD. Vytvářet 3D modely podrážek a 2D počítačem podporované návrhy. Odstupňovat a získat požadované sady velikostí. Připravit technické specifikace pro výrobu. Vytvořit 2D a 3D počítačem podporované technické návrhy a technické výkresy forem na vulkanizované a injektované podrážky. Exportovat soubory virtuálních modelů do 3D tiskárny, CAM nebo CNC systémy.",http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b | http://data.europa.eu/esco/skill/b34e2ba1-9080-48c9-9b42-ee9192a4d3f1,používat nástroje pro projektování pomocí počítače (cad) a počítačové rýsovací nástroje | používat software CAD
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,vytvářet 3D prostředí,released,skill/competence,sector-specific,generovat 3D prostředí | vytvářet 3rozměrné prostředí | vytvářet trojrozměrné prostředí | vytvořit 3D prostředí,"Vytvořit počítačově vygenerované 3D zobrazení lokace, jako je simulované prostředí, kde uživatelé interagují.",http://data.europa.eu/esco/skill/f5b33464-4df9-4cf3-b468-b0a2d6b3ee85 | http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"používat software pro 3D počítačovou grafiku | navrhovat průmyslové materiály, systémy nebo produkty"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,provádět analýzu online dat,released,skill/competence,cross-sector,,"Analyzovat on-line zkušenosti a on-line data za účelem pochopení chování uživatelů, spouštěčů on-line pozornosti a dalších faktorů, které by mohly optimalizovat vývoj a expozici internetových stránek.",http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a | http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"zpracovávat kvalitativní informace | provádět analýzu dat | řídit, získávat a uchovávat digitální data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,řídit plnění standardů bezpečnosti IT systémů,released,skill/competence,sector-specific,řídit soulad IT systémů s bezpečnostními předpisy | řídit dodržování bezpečnostních předpisů IT systémů | řídit plnění standardu bezpečnosti IT systému | řídit plnění standardů bezpečnosti IT systému,"Řídit a usměrňovat uplatňování a plnění příslušných odvětvových norem, osvědčených postupů a právních požadavků na bezpečnost informací.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"řídit, získávat a uchovávat digitální data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,klíčová slova v digitálním obsahu,released,knowledge,sector-specific,klíčové slovo v digitálním obsahu | klíčová slova pro hledání digitálního obsahu | klíčová slova pro elektronické hledání | klíčová slova v internetovém obsahu,Digitální nástroje pro provádění výzkumu klíčových slov. Systémy vyhledávání informací určují obsah dokumentu pomocí klíčových slov a metadat.,http://data.europa.eu/esco/isced-f/0611,užití počítačů
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,modelovat zdravotnické prostředky,released,skill/competence,sector-specific,,"Modelovat a simulovat zdravotnické prostředky pomocí softwaru pro technické navrhování.
	",http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,používat nástroje pro projektování pomocí počítače (cad) a počítačové rýsovací nástroje
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,používat mapu uživatelské zkušenosti,released,skill/competence,sector-specific,používat mapu dotykových bodů | používat plány zkušeností s produkty | použít mapy uživatelské zkušenosti | používat plány interakcí | použít mapu uživatelské zkušenosti | používat mapy uživatelských zkušeností,"Posoudit všechny interakce a kontaktní body lidí s výrobkem, značkou nebo službou. Stanovit klíčové proměnné, jako je doba trvání a četnost každého kontaktního bodu.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"řídit, získávat a uchovávat digitální data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,titulkovací software,released,knowledge,occupation-specific,,"Různý software umožňující tvorbu popisků a titulků ve formátu, který je sloučen se samotným záznamem, jako jsou Telestream a MovieCaptioners.",http://data.europa.eu/esco/isced-f/0613,vývoj a analýza softwaru a aplikací
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,normalizovat data,released,skill/competence,sector-specific,normalizovat data | připravovat data | provádět předběžné zpracování dat,"Omezit data na jejich přesnou základní formu (normální formu), aby bylo dosaženo takových výsledků, jako je minimalizace závislosti, odstranění nadbytečnosti, zvýšení soudržnosti.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c | http://data.europa.eu/esco/skill/2daec0e6-f0c1-43e8-8178-aedba99130ec,"řídit, získávat a uchovávat digitální data | zavádět datové procesy"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,vytvářet prototypy uživatelských řešení,released,skill/competence,sector-specific,vytvořit prototyp uživatelského řešení | vytvářet prototypy řešení zkušeností uživatelů | vytvářet prototypy uživatelského řešení | tvořit prototypy řešení zkušeností uživatelů | navrhovat prototypy uživatelských řešení,"Návrh a příprava modelů, prototypů a postupů za účelem testování řešení uživatelských zkušeností (UX) nebo získání zpětné vazby od uživatelů, zákazníků, partnerů nebo zúčastněných stran.",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,spravovat informace
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,uplatňovat organizační politiky systému,released,skill/competence,cross-sector,uplatnit organizační politiky systému | aplikovat organizační postupy systému | uplatňovat interní postupy k organizaci systémů | uplatnit organizační politiku systému | uplatňovat systémové organizační postupy | uplatňovat organizační politiku systému,"Zavádět vnitřní politiky související s rozvojem, vnitřním a vnějším využíváním technologických systémů, jako jsou softwarové systémy, síťové systémy a telekomunikační systémy, za účelem dosažení souboru cílů týkajících se účinného fungování a růstu organizace.",http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1 | http://data.europa.eu/esco/skill/802deca0-b880-4d1a-b366-e13b27621baf | http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f,prokazovat loajalitu | dodržovat provozní postupy | aplikovat firemní zásady
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,navrhovat řešení obchodních problémů pomocí ICT,released,skill/competence,cross-sector,navrhnout řešení obchodních problémů pomocí ICT | navrhovat řešení podnikových problémů pomocí informačních technologií | navrhovat řešení obchodních problémů pomocí IKT | navrhnout řešení obchodního problému pomocí ICT | navrhovat řešení obchodního problému pomocí ICT | navrhovat řešení obchodních potíží pomocí informačních a komunikačních technologií | navrhovat technická řešení obchodních problémů,"Navrhnout řešení obchodních otázek pomocí informačních a komunikačních technologií, aby se zlepšily obchodní postupy.",http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041 | http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce | http://data.europa.eu/esco/skill/7a8fb784-67fa-41e9-a75c-6b491d91f800 | http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,řešit problémy | navrhovat systémy nebo aplikace ikt | vypracovat strategii k řešení problémů | řešit technické problémy
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e6bc9f-9c98-44ae-a7a3-5266caa393e1,vypočítat náklady na opravy,released,skill/competence,sector-specific,,Vypočítat materiálové a mzdové náklady na provedení opravy; rozumět příslušným počítačovým programům.,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186 | http://data.europa.eu/esco/skill/cfbde1b6-8e47-4b83-b430-3d5f7f38d69a | http://data.europa.eu/esco/skill/b917784a-d7c9-437c-be6e-0de41067fa62,provádět výpočty | posuzovat provozní náklady | odhadovat potřebné zdroje
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08236fee-c405-4f30-8858-f10d7d5c94b7,obsluhovat systémy integrace médií,released,skill/competence,occupation-specific,,"Obsluhovat systém integrace médií pro aplikace pro scénická umění a představení během nastavení, konfigurace, zkoušek a během živých vystoupení.
   ",http://data.europa.eu/esco/skill/8ddcb295-707e-459c-ba6a-66ffb37835c5,obsluhovat audiovizuální zařízení
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,WizIQ,released,knowledge,sector-specific,,"Počítačový program WizIQ je platforma elektronického učení pro vytváření, správu, podávání zpráv a poskytování kurzů nebo vzdělávacích programů v oblasti elektronického učení.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,systém správy vzdělávání | vytváření a správa databází a sítí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,spravovat systém ICT,released,skill/competence,sector-specific,spravovat systémy ICT | spravovat systém IKT | spravovat systém informačních a komunikačních technologií | administrovat systém ICT,"Řídit součásti systému ICT, a to udržováním konfigurace, řízením uživatelů, sledováním využívání zdrojů, realizací záloh a instalací hardwaru nebo softwaru, aby byly splněny stanovené požadavky.",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20 | http://data.europa.eu/esco/skill/fbbcb9ab-4b95-4e57-a756-30d08b7da7a5,konfigurovat počítačové systémy | udržovat systém ICT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,spravovat výzkumná data,released,skill/competence,cross-sector,,"Získávat a analyzovat vědecká data prostřednictvím kvalitativních a kvantitativních výzkumných metod. Ukládat data do výzkumných databází a uchovávat je. Podporovat opětovné využívání vědeckých dat a být obeznámen se zásadami správy otevřených dat.
	",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,spravovat informace
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/094ef6aa-844f-44ce-8456-fdc49276bf58,digitální tisk,released,knowledge,sector-specific,,"Technika, která umožňuje tisk obrazového záznamu na digitální bázi přímo na řadu materiálů, většinou za použití inkoustové nebo laserové tiskárny.",http://data.europa.eu/esco/isced-f/0211,audiovizuální technika a mediální výroba a produkce
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,Cain and Abel (penetrační testovací nástroj),released,knowledge,sector-specific,,"Softwarový nástroj Cain and Abel je nástroj k obnovení hesel, který testuje operační systém Microsoft z hlediska bezpečnostních nedostatků a potenciálně neoprávněného přístupu k informacím o systému. Nástroj dekóduje, dešifruje a odkrývá hesla pomocí útoků hrubou silou a kryptoanalýzou, síťovým hledáním a analýzou protokolů.",http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436 | http://data.europa.eu/esco/isced-f/0613,penetrační testovací nástroj | vývoj a analýza softwaru a aplikací
