conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,vypracovávat vědecké nebo akademické články a technickou dokumentaci,released,skill/competence,cross-sector,,"Vypracovávat a upravovat vědecké, akademické nebo technické texty týkající se různých témat.
    ",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,psát technické nebo vědecké texty
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,spravovat výzkumná data,released,skill/competence,cross-sector,,"Získávat a analyzovat vědecká data prostřednictvím kvalitativních a kvantitativních výzkumných metod. Ukládat data do výzkumných databází a uchovávat je. Podporovat opětovné využívání vědeckých dat a být obeznámen se zásadami správy otevřených dat.
	",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,spravovat informace
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,udržovat profesní kontakty ve výzkumu a v profesním prostředí,released,skill/competence,cross-sector,,"Ctít vzájemnou soudržnost mezi spolupracovníky a kolegialitu. Poslouchat, poskytovat a přijímat zpětnou vazbu a vnímat ostatní a reagovat na ně. To rovněž zahrnuje dohled nad zaměstnanci a jejich vedení v pracovním prostředí.
    ",http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,spolupracovat s ostatními
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,šířit výsledky v rámci vědecké obce,released,skill/competence,cross-sector,,"Zveřejnit vědecké výsledky jakýmikoliv vhodnými prostředky, včetně konferencí, seminářů, kolokvií a vědeckých publikací.
	",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,psát technické nebo vědecké texty
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,vyvinout software s otevřeným zdrojovým kódem,released,skill/competence,sector-specific,,"Vytvořit a provozovat software s otevřeným zdrojovým kódem. Znát hlavní modely softwaru s otevřeným zdrojovým kódem, režimy licencí a postupy kódování, které se běžně používají při tvorbě softwaru s otevřeným zdrojovým kódem.
    ",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,programovat počítačové systémy
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,hovořit různými jazyky,released,skill/competence,cross-sector,,Ovládat cizí jazyky a být schopen komunikovat v jednom nebo více cizích jazycích.,http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,používat cizí jazyky
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,hodnotit činnosti výzkumu,released,skill/competence,cross-sector,,"Hodnotit pokrok, dopad a výsledky výzkumu výzkumných pracovníků.
	",http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,poskytovat zpětnou vazbu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,prokázat odborné znalosti,released,skill/competence,cross-sector,,"Prokázat rozsáhlé znalosti a komplexní porozumění určité oblasti výzkumu, včetně odpovědného výzkumu, etiky výzkumu a zásad vědecké integrity, požadavků ochrany soukromí a GDPR v souvislosti s výzkumnou činností v konkrétním oboru.
    ",http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,"provádět studie, šetření a průzkumy"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,myslet analyticky,released,skill/competence,transversal,určovat slabé a silné stránky | myslet logicky | přemýšlet analyticky,"Přinášet úvahy s využitím logiky a uvažování s cílem identifikovat silné a slabé stránky alternativních řešení, závěrů nebo přístupů k problémům.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"zpracování informací, nápadů a koncepcí"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,vyučovat na univerzitě nebo v rámci odborného vzdělávání,released,skill/competence,cross-sector,,"Zajišťovat studentům teoretickou a praktickou výuku akademických nebo odborných předmětů a seznamovat je s obsahem vlastních výzkumných činností i výzkumných činností jiných odborníků.
    ",http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,vyučovat akademické nebo odborné předměty
