ESCOURI,ID,UUIDHISTORY,PREFERREDLABEL,CODE
http://data.europa.eu/esco/isco/C0,key_1,3e4c87b5-79be-464a-8e92-43be97549da3,Zaměstnanci v ozbrojených silách,0
http://data.europa.eu/esco/isco/C01,key_2,121412a5-1e3f-4513-9240-6d64be0986a9,Generálové a důstojníci v ozbrojených silách,1
http://data.europa.eu/esco/isco/C011,key_3,66e21e40-d90e-476f-8c4b-054deb2639f1,Generálové a důstojníci v ozbrojených silách,11
http://data.europa.eu/esco/isco/C0110,key_4,361b637c-8c66-483d-b035-3018b187b7e9,Generálové a důstojníci v ozbrojených silách,110
http://data.europa.eu/esco/isco/C02,key_5,85c32c7b-b737-4ba2-a452-6f808ee2527f,Poddůstojníci v ozbrojených silách,2
http://data.europa.eu/esco/isco/C021,key_6,6eff6fb8-b77d-4754-a566-5c3a2ac455da,Poddůstojníci v ozbrojených silách,21
http://data.europa.eu/esco/isco/C0210,key_7,14d77f15-3057-4816-8e9f-0c518d25fdb8,Poddůstojníci v ozbrojených silách,210
http://data.europa.eu/esco/isco/C03,key_8,1267c7d8-a3d8-4b68-be06-9bc9a228f2a8,"Zaměstnanci v ozbrojených silách, další hodnosti",3
http://data.europa.eu/esco/isco/C031,key_9,2c8f2698-2872-4cd5-ad54-621c35c1e210,"Zaměstnanci v ozbrojených silách, další hodnosti",31
http://data.europa.eu/esco/isco/C0310,key_10,a908b283-b2da-45e9-a78d-3b5993349326,"Zaměstnanci v ozbrojených silách, další hodnosti",310
http://data.europa.eu/esco/isco/C1,key_11,0141c0c3-50db-4546-9f9c-c6dfe50f05c0,"Zákonodárci, vedoucí a řídící pracovníci",1
http://data.europa.eu/esco/isco/C11,key_12,8accd60f-377b-4019-9f5a-1f3e75a570ce,"Zákonodárci, vysocí státní úředníci a nejvyšší představitelé společností",11
http://data.europa.eu/esco/isco/C111,key_13,57325f3b-355d-4fd1-bfe6-0efe817ec6b5,Zákonodárci a vysocí státní úředníci,111
