ESCOURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,DESCRIPTION
http://data.europa.eu/esco/isced-f/00,key_17523,9bbe977a-10ee-4a68-aeca-333a6f521e5c,,všeobecné programy a kvalifikace,
http://data.europa.eu/esco/isced-f/000,key_17524,5833f21a-a4c0-48fd-b317-9eef9dca9b29,,všeobecné programy a kvalifikace dále nedefinované,
http://data.europa.eu/esco/isced-f/0000,key_17525,97937146-735e-405f-a641-78ad6b9092d0,,všeobecné programy a kvalifikace dále nedefinované,
http://data.europa.eu/esco/isced-f/001,key_17526,60d8416f-a28e-43f8-bd61-6afbf61f6933,,základní programy a kvalifikace,
http://data.europa.eu/esco/isced-f/0011,key_17527,5bc7c3fc-f64d-4bac-9a60-a5a15145db5b,,základní programy a kvalifikace,
http://data.europa.eu/esco/isced-f/002,key_17528,9d0d4dcc-6b49-4094-b8ae-e43984f152fa,,"čtení, psaní a počítání",
http://data.europa.eu/esco/isced-f/0021,key_17529,f8a9859b-02fd-46d9-8986-919d2722df83,,"čtení, psaní a počítání",
http://data.europa.eu/esco/isced-f/003,key_17530,7b5ea1b3-cfa3-4777-afc6-28c630823285,,osobní dovednosti a rozvoj,
http://data.europa.eu/esco/isced-f/0031,key_17531,b3be5a56-884a-43a9-8f9b-36a8014c8f66,,osobní dovednosti a rozvoj,
http://data.europa.eu/esco/isced-f/009,key_17532,93d60248-d4c4-4f45-80d4-8cc800f21a2b,,všeobecné programy a kvalifikace jinde neklasifikované,
http://data.europa.eu/esco/isced-f/0099,key_17533,d8ebbe5c-08e4-44e8-87d6-826ab688ecb4,,všeobecné programy a kvalifikace jinde neklasifikované,
http://data.europa.eu/esco/isced-f/01,key_17534,0780d5b0-ada4-48e6-8b9c-a4bbd93a947a,,vzdělávání a výchova,
http://data.europa.eu/esco/isced-f/011,key_17535,a8ac2175-14ca-417f-8b97-e4df88859f41,,vzdělávání a výchova,
http://data.europa.eu/esco/isced-f/0110,key_17536,ed1cead1-f2e5-4b2e-a6b7-c6c3f88a27ee,,vzdělávání a výchova dále nedefinováné,
http://data.europa.eu/esco/isced-f/0111,key_17537,6b818dd9-c3af-4127-a9df-9ed0b2d5df58,,pedagogika,
http://data.europa.eu/esco/isced-f/0112,key_17538,a1bdb4a3-d873-4b21-9b58-dc3482748047,,příprava učitelů pro předškolní výchovu,
http://data.europa.eu/esco/isced-f/0113,key_17539,3385b98c-6ccb-469d-9fb5-c2f9283cc657,,příprava učitelů bez oborové specializace,
http://data.europa.eu/esco/isced-f/0114,key_17540,03177a6d-bc04-43dd-aa5a-210889bf4b4e,,příprava učitelů s oborovou specializací,
http://data.europa.eu/esco/isced-f/0119,key_17541,24e91ba4-22b8-4307-830a-0d6f55b947de,,vzdělávání a výchova jinde neklasifikované,
http://data.europa.eu/esco/isced-f/018,key_17542,73fde3c1-edd0-4228-84ca-dd3509cae3d4,,interdisciplinární programy a kvalifikace zahrnující vzdělávání a výchovu,
http://data.europa.eu/esco/isced-f/0188,key_17543,60397776-546c-46bd-9db2-42c47e27f367,,interdisciplinární programy a kvalifikace zahrnující vzdělávání a výchovu,
http://data.europa.eu/esco/isced-f/02,key_17544,9afd09b5-4575-47f5-b1be-2979c8841e6c,,umění a humanitní vědy,
http://data.europa.eu/esco/isced-f/020,key_17545,3270171f-b84e-4813-9a63-8e83dfc7eedc,,umění a humanitní vědy dále nedefinované,
http://data.europa.eu/esco/isced-f/0200,key_17546,26641f58-c985-4b63-ac9f-876e268bd43d,,umění a humanitní vědy dále nedefinované,
http://data.europa.eu/esco/isced-f/021,key_17547,69294a38-087b-45a2-893a-8dba4332fe1e,,umění,
http://data.europa.eu/esco/isced-f/0210,key_17548,445b475b-39cc-4097-9abf-dcaf2dece258,,umění dále nedefinované,
http://data.europa.eu/esco/isced-f/0211,key_17549,1c805e95-cf06-4a60-bf0e-7ed32bf10610,,audiovizuální technika a mediální výroba a produkce,
http://data.europa.eu/esco/isced-f/0212,key_17550,b2d31d3f-50af-43f8-8573-2a83b37d135c,,"módní návrhářství, navrhování interiérů a průmyslový design",
http://data.europa.eu/esco/isced-f/0213,key_17551,7c903ae3-756f-43b9-abdf-ec7a02691a64,,výtvarné umění,
http://data.europa.eu/esco/isced-f/0214,key_17552,39f510d0-a0f4-4775-a08d-c099ad485038,,uměleckořemeslné dovednosti,
http://data.europa.eu/esco/isced-f/0215,key_17553,971ee955-53ee-4bb2-9700-1e09fd6ccd58,,hudba a divadelní (interpretační) umění,
http://data.europa.eu/esco/isced-f/0219,key_17554,63d089c0-d5bc-4c6f-949e-97d739f70037,,umění jinde neklasifikované,
http://data.europa.eu/esco/isced-f/022,key_17555,c937e6bb-cd3d-4a2f-b667-580df53cc77f,,humanitní vědy (kromě jazyků),
http://data.europa.eu/esco/isced-f/0220,key_17556,a4492b98-dc18-410f-ae6b-c83e6b34b5d4,,humanitní vědy (kromě jazyků) dále nedefinované,
http://data.europa.eu/esco/isced-f/0221,key_17557,741ad1f0-6e3e-4bad-993a-b1488657939b,,náboženství a teologie,
http://data.europa.eu/esco/isced-f/0222,key_17558,76f44163-7e9b-4e2f-a045-95b93788de19,,historie a archeologie,
http://data.europa.eu/esco/isced-f/0223,key_17559,923c82f8-7bb2-43e1-9916-bee5f38abe51,,filozofie a etika,
http://data.europa.eu/esco/isced-f/0228,key_17560,a5542518-2c3c-4a68-93e8-ba1dca7c31e7,,interdisciplinární programy a kvalifikace zahrnující humanitní vědy,
http://data.europa.eu/esco/isced-f/0229,key_17561,71a6ff91-e848-462d-a4d8-deb67a8a6cca,,humanitní vědy (kromě jazyků) dále neklasifikované,
http://data.europa.eu/esco/isced-f/023,key_17562,2146102d-a7dc-4ec9-9e8c-dc9362022e0e,,jazyky,
http://data.europa.eu/esco/isced-f/0230,key_17563,83137c00-9da5-45af-9c41-78e3b60b2195,,jazyky dále nedefinované,
http://data.europa.eu/esco/isced-f/0231,key_17564,feaea435-9ca0-4bb0-b533-0ab4a71519e8,,získávání jazykových znalostí,
http://data.europa.eu/esco/isced-f/0232,key_17565,59abd3b4-3452-4019-92c5-860ee573f0b1,,literatura a lingvistika,
http://data.europa.eu/esco/isced-f/0239,key_17566,33d11963-6024-4f97-b48a-b88c5c49a5dc,,jazyky jinde neklasifikované,
http://data.europa.eu/esco/isced-f/028,key_17567,14a50e77-77eb-4929-9725-b73d6d03820d,,interdisciplinární programy a kvalifikace zahrnující umění a humanitní vědy,
http://data.europa.eu/esco/isced-f/0288,key_17568,2d524908-3d3b-457d-a586-76a74758f1ec,,interdisciplinární programy a kvalifikace zahrnující umění a humanitní vědy,
http://data.europa.eu/esco/isced-f/029,key_17569,8b2b46bb-b61b-4b3b-a79f-24d0a8782c88,,umění a humanitní vědy jinde neklasifikované,
http://data.europa.eu/esco/isced-f/0299,key_17570,1dc839e9-ded6-4866-9a0b-1ca797cde886,,umění a humanitní vědy jinde neklasifikované,
http://data.europa.eu/esco/isced-f/03,key_17571,48363805-d76c-42c7-8d84-453e22bad6be,,"společenské vědy, žurnalistika a informace",
http://data.europa.eu/esco/isced-f/030,key_17572,0dcce749-2663-461c-a428-02638b92ceea,,"společenské vědy, žurnalistika a informace dále nedefinované",
http://data.europa.eu/esco/isced-f/0300,key_17573,73221a1c-2663-4b9e-b3ca-c3191e54b6c1,,"společenské vědy, žurnalistika a informace dále nedefinované",
http://data.europa.eu/esco/isced-f/031,key_17574,7b8a81bc-59b4-4821-9b59-54789c694294,,společenské vědy a vědy o lidském chování,
http://data.europa.eu/esco/isced-f/0310,key_17575,86b24a0e-cc0c-41a5-bd6b-cedc05e9e640,,společenské vědy a vědy o lidském chování dále nedefinované,
http://data.europa.eu/esco/isced-f/0311,key_17576,f4f0fdb0-35b6-47e3-a41b-fbfbee160037,,ekonomie,
http://data.europa.eu/esco/isced-f/0312,key_17577,a09e2ef2-64a7-40d3-a92c-bd25b0e89333,,politické vědy a občanská nauka,
http://data.europa.eu/esco/isced-f/0313,key_17578,b62238ab-b917-4736-a543-e5f5614a1f37,,psychologie,
http://data.europa.eu/esco/isced-f/0314,key_17579,db512cfe-0cb5-450a-b7ff-ddf4c4d96a86,,sociologie a kulturologie,
http://data.europa.eu/esco/isced-f/0319,key_17580,1093b492-164e-4ff3-83ae-06eb9a0aeadf,,společenské vědy a vědy o lidském chování jinde neklasifikované,
http://data.europa.eu/esco/isced-f/032,key_17581,b0750705-ba65-40d4-902b-76207fae7209,,žurnalistika a informace,
http://data.europa.eu/esco/isced-f/0320,key_17582,ce26874c-a451-4b8e-9ff7-0dc33d998cca,,žurnalistika a informace dále nedefinované,
http://data.europa.eu/esco/isced-f/0321,key_17583,6c398ee0-199a-415d-9523-c5712b85dcb3,,žurnalistika a zpravodajství,
http://data.europa.eu/esco/isced-f/0322,key_17584,b61b37f5-6764-42a3-9c98-fe6f0d0c4255,,"knihovnictví, informace a archivnictví",
