PARENTOBJECTTYPE,PARENTID,CHILDID,CHILDOBJECTTYPE
SkillGroup,key_18060,key_17523,SkillGroup
SkillGroup,key_17523,key_17524,SkillGroup
SkillGroup,key_17524,key_17525,SkillGroup
SkillGroup,key_17523,key_17526,SkillGroup
SkillGroup,key_17526,key_17527,SkillGroup
SkillGroup,key_17523,key_17528,SkillGroup
SkillGroup,key_17528,key_17529,SkillGroup
SkillGroup,key_17523,key_17530,SkillGroup
SkillGroup,key_17530,key_17531,SkillGroup
SkillGroup,key_17523,key_17532,SkillGroup
SkillGroup,key_17532,key_17533,SkillGroup
SkillGroup,key_18060,key_17534,SkillGroup
SkillGroup,key_17534,key_17535,SkillGroup
SkillGroup,key_17535,key_17536,SkillGroup
SkillGroup,key_17535,key_17537,SkillGroup
SkillGroup,key_17535,key_17538,SkillGroup
SkillGroup,key_17535,key_17539,SkillGroup
SkillGroup,key_17535,key_17540,SkillGroup
SkillGroup,key_17535,key_17541,SkillGroup
SkillGroup,key_17534,key_17542,SkillGroup
SkillGroup,key_17542,key_17543,SkillGroup
SkillGroup,key_18060,key_17544,SkillGroup
SkillGroup,key_17544,key_17545,SkillGroup
SkillGroup,key_17545,key_17546,SkillGroup
SkillGroup,key_17544,key_17547,SkillGroup
SkillGroup,key_17547,key_17548,SkillGroup
SkillGroup,key_17547,key_17549,SkillGroup
SkillGroup,key_17547,key_17550,SkillGroup
SkillGroup,key_17547,key_17551,SkillGroup
SkillGroup,key_17547,key_17552,SkillGroup
SkillGroup,key_17547,key_17553,SkillGroup
SkillGroup,key_17547,key_17554,SkillGroup
SkillGroup,key_17544,key_17555,SkillGroup
SkillGroup,key_17555,key_17556,SkillGroup
SkillGroup,key_17555,key_17557,SkillGroup
SkillGroup,key_17555,key_17558,SkillGroup
SkillGroup,key_17555,key_17559,SkillGroup
SkillGroup,key_17555,key_17560,SkillGroup
SkillGroup,key_17555,key_17561,SkillGroup
SkillGroup,key_17544,key_17562,SkillGroup
SkillGroup,key_17562,key_17563,SkillGroup
SkillGroup,key_17562,key_17564,SkillGroup
SkillGroup,key_17562,key_17565,SkillGroup
SkillGroup,key_17562,key_17566,SkillGroup
SkillGroup,key_17544,key_17567,SkillGroup
SkillGroup,key_17567,key_17568,SkillGroup
SkillGroup,key_17544,key_17569,SkillGroup
SkillGroup,key_17569,key_17570,SkillGroup
SkillGroup,key_18060,key_17571,SkillGroup
SkillGroup,key_17571,key_17572,SkillGroup
SkillGroup,key_17572,key_17573,SkillGroup
SkillGroup,key_17571,key_17574,SkillGroup
SkillGroup,key_17574,key_17575,SkillGroup
SkillGroup,key_17574,key_17576,SkillGroup
SkillGroup,key_17574,key_17577,SkillGroup
SkillGroup,key_17574,key_17578,SkillGroup
SkillGroup,key_17574,key_17579,SkillGroup
SkillGroup,key_17574,key_17580,SkillGroup
SkillGroup,key_17571,key_17581,SkillGroup
SkillGroup,key_17581,key_17582,SkillGroup
SkillGroup,key_17581,key_17583,SkillGroup
SkillGroup,key_17581,key_17584,SkillGroup
SkillGroup,key_17581,key_17585,SkillGroup
SkillGroup,key_17571,key_17586,SkillGroup
SkillGroup,key_17586,key_17587,SkillGroup
SkillGroup,key_17571,key_17588,SkillGroup
SkillGroup,key_17588,key_17589,SkillGroup
SkillGroup,key_18060,key_17590,SkillGroup
SkillGroup,key_17590,key_17591,SkillGroup
SkillGroup,key_17591,key_17592,SkillGroup
SkillGroup,key_17590,key_17593,SkillGroup
SkillGroup,key_17593,key_17594,SkillGroup
SkillGroup,key_17593,key_17595,SkillGroup
SkillGroup,key_17593,key_17596,SkillGroup
SkillGroup,key_17593,key_17597,SkillGroup
SkillGroup,key_17593,key_17598,SkillGroup
SkillGroup,key_17593,key_17599,SkillGroup
SkillGroup,key_17593,key_17600,SkillGroup
SkillGroup,key_17593,key_17601,SkillGroup
SkillGroup,key_17593,key_17602,SkillGroup
SkillGroup,key_17590,key_17603,SkillGroup
SkillGroup,key_17603,key_17604,SkillGroup
SkillGroup,key_17590,key_17605,SkillGroup
SkillGroup,key_17605,key_17606,SkillGroup
SkillGroup,key_17590,key_17607,SkillGroup
SkillGroup,key_17607,key_17608,SkillGroup
SkillGroup,key_18060,key_17609,SkillGroup
SkillGroup,key_17609,key_17610,SkillGroup
SkillGroup,key_17610,key_17611,SkillGroup
SkillGroup,key_17609,key_17612,SkillGroup
SkillGroup,key_17612,key_17613,SkillGroup
SkillGroup,key_17612,key_17614,SkillGroup
SkillGroup,key_17612,key_17615,SkillGroup
SkillGroup,key_17612,key_17616,SkillGroup
SkillGroup,key_17609,key_17617,SkillGroup
SkillGroup,key_17617,key_17618,SkillGroup
SkillGroup,key_17617,key_17619,SkillGroup
SkillGroup,key_17617,key_17620,SkillGroup
SkillGroup,key_17617,key_17621,SkillGroup
SkillGroup,key_17609,key_17622,SkillGroup
SkillGroup,key_17622,key_17623,SkillGroup
SkillGroup,key_17622,key_17624,SkillGroup
SkillGroup,key_17622,key_17625,SkillGroup
SkillGroup,key_17622,key_17626,SkillGroup
SkillGroup,key_17622,key_17627,SkillGroup
SkillGroup,key_17609,key_17628,SkillGroup
SkillGroup,key_17628,key_17629,SkillGroup
SkillGroup,key_17628,key_17630,SkillGroup
SkillGroup,key_17628,key_17631,SkillGroup
SkillGroup,key_17609,key_17632,SkillGroup
SkillGroup,key_17632,key_17633,SkillGroup
SkillGroup,key_17609,key_17634,SkillGroup
SkillGroup,key_17634,key_17635,SkillGroup
SkillGroup,key_18060,key_17636,SkillGroup
SkillGroup,key_17636,key_17637,SkillGroup
SkillGroup,key_17637,key_17638,SkillGroup
SkillGroup,key_17637,key_17639,SkillGroup
SkillGroup,key_17637,key_17640,SkillGroup
SkillGroup,key_17637,key_17641,SkillGroup
SkillGroup,key_17637,key_17642,SkillGroup
SkillGroup,key_17636,key_17643,SkillGroup
SkillGroup,key_17643,key_17644,SkillGroup
SkillGroup,key_18060,key_17645,SkillGroup
SkillGroup,key_17645,key_17646,SkillGroup
SkillGroup,key_17646,key_17647,SkillGroup
SkillGroup,key_17645,key_17648,SkillGroup
SkillGroup,key_17648,key_17649,SkillGroup
SkillGroup,key_17648,key_17650,SkillGroup
SkillGroup,key_17648,key_17651,SkillGroup
SkillGroup,key_17648,key_17652,SkillGroup
SkillGroup,key_17648,key_17653,SkillGroup
SkillGroup,key_17648,key_17654,SkillGroup
SkillGroup,key_17648,key_17655,SkillGroup
SkillGroup,key_17648,key_17656,SkillGroup
SkillGroup,key_17645,key_17657,SkillGroup
SkillGroup,key_17657,key_17658,SkillGroup
SkillGroup,key_17657,key_17659,SkillGroup
SkillGroup,key_17657,key_17660,SkillGroup
SkillGroup,key_17657,key_17661,SkillGroup
SkillGroup,key_17657,key_17662,SkillGroup
SkillGroup,key_17657,key_17663,SkillGroup
SkillGroup,key_17645,key_17664,SkillGroup
SkillGroup,key_17664,key_17665,SkillGroup
SkillGroup,key_17664,key_17666,SkillGroup
SkillGroup,key_17664,key_17667,SkillGroup
SkillGroup,key_17645,key_17668,SkillGroup
SkillGroup,key_17668,key_17669,SkillGroup
