conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,školit zaměstnance v oblasti snižování plýtvání potravinami,released,skill/competence,sector-specific,,"Zavést nová školení a ustanovení pro rozvoj zaměstnanců na podporu jejich znalostí v oblasti prevence plýtvání potravinami a postupů recyklace potravin. Zajistit, aby zaměstnanci rozuměli metodám a nástrojům pro recyklaci potravin, např. třídění odpadu.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,poskytovat školení týkající se provozních postupů
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,vytvářet koncepce úspory energie,released,skill/competence,cross-sector,,"Využívat současné výsledky výzkumu a spolupracovat s odborníky s cílem optimalizovat nebo rozvíjet koncepce, vybavení a výrobní procesy, které vyžadují nižší množství energie, jako jsou nové izolační postupy a materiály.",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,vypracovávat provozní politiky a postupy | myslet inovativně
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,provádět výzkum týkající se flóry,released,skill/competence,sector-specific,,"Shromažďovat a analyzovat údaje o rostlinách za účelem zjištění jejich základních aspektů, jako je původ, anatomie a funkce.",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,analyzovat vědecká a lékařská data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,instalovat tepelné čerpadlo,released,skill/competence,cross-sector,,"Instalovat tepelná čerpadla, která využívají fyzikální vlastnosti látek nazývaných chladiva k získávání tepla z okolního prostředí a k jeho uvolnění do teplejšího prostředí, což je v protikladu se samovolným prouděním tepla. Vytvořit potřebné otvory a nainstalovat vnitřní i venkovní části tepelného čerpadla. Připojit elektřinu a veškeré potrubí a konfigurovat tepelné čerpadlo.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"instalovat zařízení pro vytápění, ventilaci a klimatizaci"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,navrhovat zařízení využívající biomasu,released,skill/competence,sector-specific,,"Navrhnout systém využívající energii z biomasy. Určit stavební limity, jako je nezbytný prostor a výška. Vypočítat ukazatele, jako je objem, průtok a teploty. Vypracovat podrobné popisy a nákresy návrhu.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,navrhovat elektrické nebo elektronické systémy a zařízení
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,provádět kontrolu staveb na moři,released,skill/competence,cross-sector,,"Provádět pravidelné inspekce v průběhu výstavby zařízení na moři, jako jsou ropné plošiny, a po jejich výstavbě, za účelem zajištění minimalizace rizik a dodržování předpisů.",http://data.europa.eu/esco/skill/efbb3d3b-a41c-4e0a-90a8-8e611eb1db9f,"poskytovat poradenství ohledně právních, regulačních nebo procesních záležitostí"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,usilovat o podporu biologické rozmanitosti a dobrých životních podmínek zvířat,released,skill/competence,transversal,,"Jednat způsobem, který pomáhá udržovat stabilní ekosystémy a bojuje proti vymírání druhů, například uvědomělou volbou stravy, která podporuje výrobu biopotravin a dobré životní podmínky zvířat.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,uplatňování dovedností a schopností souvisejících s životním prostředím
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,vypracovat studii proveditelnosti pro systémy pro správu budov,released,skill/competence,sector-specific,,"Uskutečňovat hodnocení a posuzování potenciálu systému pro správu budov. Realizovat standardizovanou studii s cílem určit úsporu energie, náklady a omezení a provádět výzkum na podporu procesu rozhodování.
	",http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06 | http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702,analyzovat obchodní operace | provádět studii proveditelnosti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,odstranit kontaminované materiály,released,skill/competence,sector-specific,,"Odstranit materiály a zařízení, které jsou kontaminovány nebezpečnými látkami, za účelem ochrany okolí před další kontaminací a zpracovat nebo zlikvidovat kontaminované materiály.",http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f,manipulovat s nebezpečnými materiály a odstraňovat je | posuzovat znečištění
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,dodržovat postupy kontroly látek nebezpečných pro zdraví,released,skill/competence,sector-specific,,"Dodržovat postupy kontroly látek nebezpečných pro zdraví při činnostech zahrnujících expozici nebezpečným látkám, jako jsou bakterie, alergeny, odpadní oleje, barvy nebo brzdové kapaliny, které způsobují onemocnění nebo zranění.
",http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176,manipulovat s nebezpečnými materiály a odstraňovat je | při pracovních postupech dodržovat bezpečnostní opatření
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/032867c3-3c53-42ad-aabe-030eeb6292ab,měřit stromy,released,skill/competence,cross-sector,,"Provést veškerá příslušná měření stromu: jeho výšky výškoměrem, jeho obvodu pomocí měřicího pásma a míry růstu stromu pomocí přírůstkového kladívka a kůroměru.",http://data.europa.eu/esco/skill/ab75d510-ac75-482d-b671-bb3bad741f07 | http://data.europa.eu/esco/skill/23d7bd85-d8d5-4455-b64d-3b0998f2425d,provádět pracovní měření | provádět měření rozměrů a souvisejících vlastností
