conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,skill/competence,transversal,psát maďarsky,released,,Sestavovat písemné texty v maďarštině.,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,maďarština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,skill/competence,transversal,rozumět psané korejštině,released,,Číst a rozumět psanému textu v korejštině.,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,korejština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/037b5e5f-db3c-40cd-864e-5b9b9a3a080d,skill/competence,transversal,rozumět mluvené maďarštině,released,,Rozumět mluvené formě maďarštiny.,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,maďarština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,skill/competence,transversal,rozumět mluvené velštině,released,,Rozumět mluvené formě velštiny.,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,velština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/047218cf-3974-4148-86f8-31464253aa08,skill/competence,transversal,ústně komunikovat v bosenštině,released,,Ústně komunikovat v bosenštině.,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,bosenština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049b5d37-aab3-4b6a-a505-bf254a434b5d,skill/competence,transversal,rozumět psané lotyštině,released,,Číst a rozumět psanému textu v lotyštině.,http://data.europa.eu/esco/skill/5de39924-769c-4301-82a5-525358dffe50,lotyština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049de1f6-34ec-46f9-a0b1-8fc6f0199413,skill/competence,transversal,psát finsky,released,,Vypracovávat písemné texty ve finštině.,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,finština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04bd6e5b-9f81-4c3d-a81f-d7ac2c08dfd9,skill/competence,transversal,rozumět mluvené paňdžábštině,released,,Rozumět mluvené formě paňdžábštiny.,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,paňdžábština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/078a25a4-1ac2-4c83-b0ed-8f8573c4633a,skill/competence,transversal,ústně komunikovat v okcitánštině,released,,Ústně komunikovat v okcitánštině.,http://data.europa.eu/esco/skill/57cc6587-7efe-4ba5-982f-ac15ce1617ac,okcitánština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0799a646-288c-4fcd-a6fd-d97a41c1bf5b,skill/competence,transversal,ústně komunikovat v češtině,released,,Ústně komunikovat v češtině.,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,čeština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07cacd8e-6aaf-4cab-abeb-28319f454606,skill/competence,transversal,rozumět psané ukrajinštině,released,,Číst a rozumět psanému textu v ukrajinštině.,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,ukrajinština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08759658-fffc-4951-bea0-1fb51d06eb89,skill/competence,transversal,rozumět psané španělštině,released,,Číst a rozumět psanému textu ve španělštině.,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,španělština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08ee9a78-5eb5-426c-b34e-9ef0e0f88cc5,skill/competence,transversal,rozumět psané arménštině,released,,Číst a rozumět psanému textu v arménštině.,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,arménština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a1e6554-1c6b-42c6-970b-8d9a307cdb5e,skill/competence,transversal,psát javánsky,released,,Tvořit písemné texty v javánštině.,http://data.europa.eu/esco/skill/7a86907d-1fd5-4e8f-b0f1-f366a14f6f6d,javánština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a35de65-e51d-4862-a425-2f4dd5c4a982,skill/competence,transversal,psát bosensky,released,,Tvořit písemné texty v bosenštině.,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,bosenština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0dc4ee3d-3e51-4765-bc1c-996707beeea1,skill/competence,transversal,rozumět psané sardštině,released,,Číst a rozumět psanému textu v sardštině.,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,sardština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,knowledge,transversal,finština,released,,Finský jazyk. Finština je úředním a pracovním jazykem EU.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,Jazyky | ovládání jazyků
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e91219a-e74a-46e6-bcf9-9e14da031343,skill/competence,transversal,psát ukrajinsky,released,,Vypracovávat písemné texty v ukrajinštině.,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,ukrajinština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ee9e985-0ee5-4a73-8a12-78b53b261bb2,skill/competence,transversal,ústně komunikovat v angličtině,released,,Ústně komunikovat v angličtině.,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,angličtina
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0efbd0a0-0272-445d-90a8-ebb2a9b5058b,skill/competence,transversal,rozumět mluvené bosenštině,released,,Rozumět mluvené formě bosenštiny.,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,bosenština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f58a178-1382-4df2-95e8-2b3f90e80e24,skill/competence,transversal,ústně komunikovat ve španělštině,released,,Ústně komunikovat ve španělštině.,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,španělština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f775d62-d543-40dd-aaaf-56195c2bfd80,skill/competence,transversal,rozumět mluvené perštině,released,,Rozumět mluvené formě perštiny.,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,perština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10323914-77bf-41f2-b081-42b6e972d08d,skill/competence,transversal,rozumět psané islandštině,released,,Číst a rozumět psanému textu v islandštině.,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,islandština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10b306ae-6a1b-4e62-b06d-8702cfc6814c,skill/competence,transversal,rozumět psané tamilštině,released,,Číst a rozumět psanému textu v tamilštině.,http://data.europa.eu/esco/skill/e9e9b625-f59f-4bda-952d-1f9831e6dfda,tamilština
