conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,prokazovat iniciativu,released,,"Být proaktivní a činit první kroky bez čekání na to, co řeknou nebo učiní ostatní.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,zaujmout proaktivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,skill/competence,transversal,usilovat o podporu biologické rozmanitosti a dobrých životních podmínek zvířat,released,,"Jednat způsobem, který pomáhá udržovat stabilní ekosystémy a bojuje proti vymírání druhů, například uvědomělou volbou stravy, která podporuje výrobu biopotravin a dobré životní podmínky zvířat.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,uplatňování dovedností a schopností souvisejících s životním prostředím
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,radit ostatním,released,,"Nabízet návrhy týkající se nejlepšího doporučeného postupu.
  ",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,podpora ostatních
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,skill/competence,cross-sector,přijímat kritiku a rady,released,,"Zvládat negativní zpětnou vazbu od ostatních, otevřeně reagovat na kritiku a pokusit se skrze ni nalézt potenciální oblasti ke zlepšení.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,prokázat vůli učit se
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,skill/competence,transversal,"uplatňovat znalost filozofie, etiky a náboženství",released,,"Nalézt a rozvíjet vlastní pohled na úlohy, smysl a účel jednotlivce, včetně toho, co znamená žít, zemřít a být člověkem.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,uplatňování obecných znalostí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,skill/competence,transversal,usilovat o snížení znečištění,released,,"Přijímat opatření na snížení hluku, světelného znečištění, znečištění vzduchu, vody nebo životního prostředí, například používáním veřejné dopravy, nezanecháváním odpadků v přírodním prostředí a snižováním nepotřebných emisí světelného záření a hluku, a to zejména v noci.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,uplatňování dovedností a schopností souvisejících s životním prostředím
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,plnit své závazky,released,,"Plnit úkoly sebedisciplinovaným, spolehlivým a na cíl orientovaným způsobem.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,pracovat efektivně
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,skill/competence,transversal,přizpůsobit se fyzickým nárokům,released,,"Projevit schopnost vydržet vysokou fyzickou pracovní nebo sportovní zátěž. Patří sem klečení, stání nebo běhání po delší dobu nebo práce za nepříznivých meteorologických podmínek, jako je velké teplo, zima a déšť.
  ",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,reakce na fyzické okolnosti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,skill/competence,transversal,převzít odpovědnost,released,,"Přijmout zodpovědnost a odpovědnost za vlastní profesní rozhodnutí a činy, jakož i za ty, které byly delegovány na jiné.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,zaujmout proaktivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,skill/competence,transversal,projevovat odhodlání,released,,"Projevovat odhodlání vykonávat činnost, která je obtížná a vyžaduje náročnou práci. Projevovat velké úsilí vedené zájmem nebo radostí z práce samotné, a to bez vnějších tlaků.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,zaujmout proaktivní přístup
