conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,řešit technické problémy,released,skill/competence,cross-sector,,Identifikovat technické problémy při používání zařízení a používání digitálního prostředí a řešit je (od odstraňování poruch až po řešení složitějších problémů).,http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,identifikovat problémy | řešit problémy s počítači | řešení problémů pomocí digitálních nástrojů
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,zapojovat se do občanského života prostřednictvím digitálních technologií,released,skill/competence,cross-sector,,Zapojovat se do společenského života prostřednictvím veřejných a soukromých digitálních služeb. Prostřednictvím vhodných digitálních technologií hledat příležitosti k seberealizaci a k aktivnímu občanství.,http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,používat digitální nástroje pro spolupráci a produktivitu | digitální komunikace a spolupráce
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,využívat digitální technologie kreativně,released,skill/competence,cross-sector,,Využívat digitální nástroje a technologie k vytváření znalostí a k inovování postupů a produktů. Zapojit se jednotlivě a kolektivně do kognitivního zpracování s cílem pochopit a řešit koncepční problémy a problematické situace v digitálním prostředí.,http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,používat digitální nástroje pro spolupráci a produktivitu | řešení problémů pomocí digitálních nástrojů
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"vyhodnocovat údaje, informace a digitální obsah",released,skill/competence,cross-sector,,"Analyzovat, porovnávat a kriticky hodnotit důvěryhodnost a spolehlivost zdrojů dat, informací a digitálního obsahu. Analyzovat, interpretovat a kriticky hodnotit údaje, informace a digitální obsah.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,zpracování digitálních údajů | analyzovat a vyhodnocovat informace a data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,počítačové programování,released,knowledge,cross-sector,zásady vývoje softwaru | počítačová programování | postupy programování | tvorba počítačových programů,"Techniky a zásady vývoje softwaru, jako je analýza, algoritmy, kódování, testování a sestavování programovacích paradigmat (např. programování zaměřené na účel, funkční programování) a programovací jazyky.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/isced-f/0613,tvorba digitálního obsahu | vývoj a analýza softwaru a aplikací
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,identifikovat nedostatky v digitálních kompetencích,released,skill/competence,cross-sector,,"Být si vědomi oblastí digitálních kompetencí, které je třeba zlepšit nebo osvěžit. Mít schopnost podporovat ostatní při rozvoji jejich digitálních kompetencí. Hledat příležitosti pro vlastní rozvoj a držet krok s digitálním vývojem.",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,"řešení problémů pomocí digitálních nástrojů | monitorovat, kontrolovat a testovat"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,spolupracovat prostřednictvím digitálních technologií,released,skill/competence,cross-sector,,"Využívat digitální nástroje a technologie pro spolupráci, společnou výstavbu a společnou tvorbu zdrojů a znalostí.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,používat digitální nástroje pro spolupráci a produktivitu | digitální komunikace a spolupráce
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,chránit osobní údaje a soukromí,released,skill/competence,cross-sector,,"Chránit osobní údaje a soukromí v digitálním prostředí. Chápat, jak používat a sdílet informace, na jejichž základě lze identifikovat určitou osobu, a zároveň jak chránit sebe a jiné osoby před újmou. Pochopit, že digitální služby využívají „pravidla ochrany údajů“ k informování o tom, jak jsou osobní údaje využívány.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,bezpečnost ICT | chránit soukromí a osobní údaje
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,sdílet prostřednictvím digitálních technologií,released,skill/competence,cross-sector,,"Sdílet data, informace a digitální obsah s dalšími pomocí vhodných digitálních technologií. Jednat jako zprostředkovatel, znát referenční a přiřazovací postupy.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,používat digitální nástroje pro spolupráci a produktivitu | digitální komunikace a spolupráce
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,bezpečnost ICT,released,,,,"Osobní ochrana, ochrana údajů, digitální ochrana totožnosti, bezpečnostní opatření, bezpečné a udržitelné využívání.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,chránit zařízení ikt
